artist_name,artist_id,album_id,album_type,album_images,album_release_date,album_release_year,album_release_date_precision,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,track_id,analysis_url,time_signature,artists,available_markets,disc_number,duration_ms,explicit,track_href,track_name,track_preview_url,track_number,type,track_uri,is_local,external_urls.spotify,album_name,key_name,mode_name,key_mode
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0tvOiqQkHp6bqYzzPfPc4B,album,,2024-05-17,2024,day,0.661,0.557,10,-7.363,1,0.124,0.155,0,0.39,0.196,125.289,4xf5tgOyHqhT92XsPHOAN9,https://api.spotify.com/v1/audio-analysis/4xf5tgOyHqhT92XsPHOAN9,5,,,1,174226,TRUE,https://api.spotify.com/v1/tracks/4xf5tgOyHqhT92XsPHOAN9,They Shooting,https://p.scdn.co/mp3-preview/492d6d293a6747e82ccf7b7bbd24f844840f4001?cid=fa302d336c68442a9c10250efda1f07a,11,track,spotify:track:4xf5tgOyHqhT92XsPHOAN9,FALSE,https://open.spotify.com/track/4xf5tgOyHqhT92XsPHOAN9,Better Off Alone,A#,major,A# major
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0tvOiqQkHp6bqYzzPfPc4B,album,,2024-05-17,2024,day,0.425,0.685,4,-6.391,1,0.514,0.185,0,0.363,0.573,178.972,4E0KtPKBsZBY7PXOVE0FYM,https://api.spotify.com/v1/audio-analysis/4E0KtPKBsZBY7PXOVE0FYM,4,,,1,171680,TRUE,https://api.spotify.com/v1/tracks/4E0KtPKBsZBY7PXOVE0FYM,Feel Like Dying,https://p.scdn.co/mp3-preview/19f31fab040ee082fcf36b5efffda56ee43dfddf?cid=fa302d336c68442a9c10250efda1f07a,12,track,spotify:track:4E0KtPKBsZBY7PXOVE0FYM,FALSE,https://open.spotify.com/track/4E0KtPKBsZBY7PXOVE0FYM,Better Off Alone,E,major,E major
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0tvOiqQkHp6bqYzzPfPc4B,album,,2024-05-17,2024,day,0.651,0.683,8,-6.186,0,0.0628,0.0758,0,0.111,0.667,90.002,5BwI8Y8sZjDL3qAEqF76hA,https://api.spotify.com/v1/audio-analysis/5BwI8Y8sZjDL3qAEqF76hA,4,,,1,150146,TRUE,https://api.spotify.com/v1/tracks/5BwI8Y8sZjDL3qAEqF76hA,P&E (feat. Mariah the Scientist),https://p.scdn.co/mp3-preview/c8603255d9c00966922c61782237d7ae6827e88e?cid=fa302d336c68442a9c10250efda1f07a,13,track,spotify:track:5BwI8Y8sZjDL3qAEqF76hA,FALSE,https://open.spotify.com/track/5BwI8Y8sZjDL3qAEqF76hA,Better Off Alone,G#,minor,G# minor
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0tvOiqQkHp6bqYzzPfPc4B,album,,2024-05-17,2024,day,0.654,0.62,7,-7.103,1,0.323,0.289,0,0.132,0.119,86.033,2IznqHHmLllLYZxaRUI9uh,https://api.spotify.com/v1/audio-analysis/2IznqHHmLllLYZxaRUI9uh,4,,,1,188973,TRUE,https://api.spotify.com/v1/tracks/2IznqHHmLllLYZxaRUI9uh,Tiffanys,https://p.scdn.co/mp3-preview/ff1e9eddb52da67c640f8ae672f08a821e25251e?cid=fa302d336c68442a9c10250efda1f07a,14,track,spotify:track:2IznqHHmLllLYZxaRUI9uh,FALSE,https://open.spotify.com/track/2IznqHHmLllLYZxaRUI9uh,Better Off Alone,G,major,G major
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0tvOiqQkHp6bqYzzPfPc4B,album,,2024-05-17,2024,day,0.66,0.611,1,-6.424,1,0.169,0.315,0,0.126,0.313,91.942,6BUydHqdO6XJx2ABvGXBTJ,https://api.spotify.com/v1/audio-analysis/6BUydHqdO6XJx2ABvGXBTJ,4,,,1,198293,TRUE,https://api.spotify.com/v1/tracks/6BUydHqdO6XJx2ABvGXBTJ,No More Questions,https://p.scdn.co/mp3-preview/c9dfcb65e66e62455c564e583ba9f3a425a3e23c?cid=fa302d336c68442a9c10250efda1f07a,15,track,spotify:track:6BUydHqdO6XJx2ABvGXBTJ,FALSE,https://open.spotify.com/track/6BUydHqdO6XJx2ABvGXBTJ,Better Off Alone,C#,major,C# major
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0tvOiqQkHp6bqYzzPfPc4B,album,,2024-05-17,2024,day,0.703,0.572,2,-8.401,1,0.066,0.0222,6.26e-6,0.125,0.147,95.041,1ABwaUBAkxj44RIEMRZ3yM,https://api.spotify.com/v1/audio-analysis/1ABwaUBAkxj44RIEMRZ3yM,4,,,1,111173,TRUE,https://api.spotify.com/v1/tracks/1ABwaUBAkxj44RIEMRZ3yM,How to Love,https://p.scdn.co/mp3-preview/dbc18aa4a2c8ad2aea593eb6ea327a80e1e567b5?cid=fa302d336c68442a9c10250efda1f07a,16,track,spotify:track:1ABwaUBAkxj44RIEMRZ3yM,FALSE,https://open.spotify.com/track/1ABwaUBAkxj44RIEMRZ3yM,Better Off Alone,D,major,D major
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0tvOiqQkHp6bqYzzPfPc4B,album,,2024-05-17,2024,day,0.6,0.563,5,-7.012,0,0.152,0.278,3.72e-6,0.319,0.067,90.733,5OwJhwzFtvBlKNHZyCgh3Q,https://api.spotify.com/v1/audio-analysis/5OwJhwzFtvBlKNHZyCgh3Q,4,,,1,166986,TRUE,https://api.spotify.com/v1/tracks/5OwJhwzFtvBlKNHZyCgh3Q,D.T.N.,https://p.scdn.co/mp3-preview/fbed41683242bd49ac2bb51b5b8a4730975822cd?cid=fa302d336c68442a9c10250efda1f07a,17,track,spotify:track:5OwJhwzFtvBlKNHZyCgh3Q,FALSE,https://open.spotify.com/track/5OwJhwzFtvBlKNHZyCgh3Q,Better Off Alone,F,minor,F minor
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0tvOiqQkHp6bqYzzPfPc4B,album,,2024-05-17,2024,day,0.579,0.671,1,-4.544,1,0.236,0.13,0,0.211,0.525,91.695,5l2fPbGjTiaf1GeUYipn6B,https://api.spotify.com/v1/audio-analysis/5l2fPbGjTiaf1GeUYipn6B,4,,,1,177893,TRUE,https://api.spotify.com/v1/tracks/5l2fPbGjTiaf1GeUYipn6B,Did Me Wrong,https://p.scdn.co/mp3-preview/1bc73d30769a99951c47129a09cf4a2deacad389?cid=fa302d336c68442a9c10250efda1f07a,18,track,spotify:track:5l2fPbGjTiaf1GeUYipn6B,FALSE,https://open.spotify.com/track/5l2fPbGjTiaf1GeUYipn6B,Better Off Alone,C#,major,C# major
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0tvOiqQkHp6bqYzzPfPc4B,album,,2024-05-17,2024,day,0.418,0.724,11,-5.988,0,0.283,0.0511,0,0.141,0.278,179.522,5aign3J0udGFIl4O3KrJMF,https://api.spotify.com/v1/audio-analysis/5aign3J0udGFIl4O3KrJMF,4,,,1,154800,TRUE,https://api.spotify.com/v1/tracks/5aign3J0udGFIl4O3KrJMF,Her Birthday,https://p.scdn.co/mp3-preview/42f9175e21764e7198cd3a59a68fc1043ca92cf9?cid=fa302d336c68442a9c10250efda1f07a,19,track,spotify:track:5aign3J0udGFIl4O3KrJMF,FALSE,https://open.spotify.com/track/5aign3J0udGFIl4O3KrJMF,Better Off Alone,B,minor,B minor
A Boogie Wit da Hoodie,31W5EY0aAly4Qieq6OFu6I,0tvOiqQkHp6bqYzzPfPc4B,album,,2024-05-17,2024,day,0.751,0.649,7,-5.957,1,0.0687,0.0311,0,0.137,0.331,156.098,1XwnuUUz0adk9E46bwDwQn,https://api.spotify.com/v1/audio-analysis/1XwnuUUz0adk9E46bwDwQn,4,,,1,136973,TRUE,https://api.spotify.com/v1/tracks/1XwnuUUz0adk9E46bwDwQn,Booby Trap,https://p.scdn.co/mp3-preview/c24e82e8b49d6c9a4cc5023092010b67304e9435?cid=fa302d336c68442a9c10250efda1f07a,20,track,spotify:track:1XwnuUUz0adk9E46bwDwQn,FALSE,https://open.spotify.com/track/1XwnuUUz0adk9E46bwDwQn,Better Off Alone,G,major,G major
